Topic: options-edge-hpsf-stage-b-v2-1-prod-hpsf-volatility-index-store-changelog	TopicId: zFEsEkRJQSCO2seBZEm56A	PartitionCount: 1	ReplicationFactor: 1	Configs: compression.type=lz4,min.insync.replicas=1,cleanup.policy=compact,delete,segment.bytes=134217728,retention.ms=172800000,max.compaction.lag.ms=3600000,message.timestamp.type=CreateTime,min.cleanable.dirty.ratio=0.1,delete.retention.ms=3600000,segment.ms=1800000
	Topic: options-edge-hpsf-stage-b-v2-1-prod-hpsf-volatility-index-store-changelog	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	TopicId: 5gB1iub-TfecRbEZxLECdA	PartitionCount: 32	ReplicationFactor: 1	Configs: min.insync.replicas=1,cleanup.policy=compact,delete,segment.bytes=1073741824,retention.ms=86400000,message.timestamp.type=CreateTime,min.cleanable.dirty.ratio=0.01,delete.retention.ms=3600000,segment.ms=3600000
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 1	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 3	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 4	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 5	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 6	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 7	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 8	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 9	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 10	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options-flow-volume-sandwich-streams-v2-prod-sandwich-expiry-index-state-changelog	Partition: 11	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
